ProductName,Sales
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",500.308
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",1184.232
"Howard Miller 12"" Round Wall Clock",479.33799999999997
Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,786.9
"Howard Miller 13"" Diameter Goldtone Round Wall Clock",1042.068
"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",1047.7359999999999
"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",949.026
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",1324.8
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1636.864
"Howard Miller 16"" Diameter Gallery Wall Clock",575.46
Howard Miller Distant Time Traveler Alarm Clock,531.948
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.406
"Iceberg OfficeWorks 42"" Round Tables",3457.442
KI Adjustable-Height Table,4552.641
KI Conference Tables,2140.878
Laminate Occasional Tables,2096.168
"Leather Task Chair, Black",1437.484
"Lesro Round Back Collection Coffee Table, End Table",2847.7799999999997
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.114
"Lifetime Advantage Folding Chairs, 4/Carton",5212.112
"Linden 10"" Round Wall Clock, Black",253.648
"Linden 12"" Wall Clock With Oak Frame",101.94
Longer-Life Soft White Bulbs,115.192
Luxo Adjustable Task Clamp Lamp,1545.816
Luxo Economy Swing Arm Lamp,338.98
Luxo Professional Combination Clamp-On Lamps,1329.9
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.056
Luxo Professional Magnifying Clamp-On Fluorescent Lamps,1268.922
Magna Visual Magnetic Picture Hangers,84.83200000000001
Magnifier Swing Arm Lamp,251.76000000000002
"Master Big Foot Doorstop, Beige",152.064
"Master Caster Door Stop, Brown",176.784
"Master Caster Door Stop, Gray",47.752
"Master Caster Door Stop, Large Brown",59.696
"Master Caster Door Stop, Large Neon Orange",154.336
"Master Giant Foot Doorstop, Safety Yellow",83.49
"Metal Folding Chairs, Beige, 4/Carton",685.588
Novimex Fabric Task Chair,1890.3799999999999
Novimex High-Tech Fabric Mesh Task Chair,922.74
Novimex Swivel Fabric Task Chair,2913.9139999999998
Novimex Turbo Task Chair,1341.5220000000002
Nu-Dell EZ-Mount Plastic Wall Frames,19.7
Nu-Dell Executive Frame,409.536
Nu-Dell Float Frame 11 x 14 1/2,170.62
Nu-Dell Leatherette Frames,246.64800000000002
Nu-Dell Oak Frame,151.656
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46
O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.842
O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.195
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.197
O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.804
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.344
O'Sullivan Cherrywood Estates Traditional Bookcase,424.90000000000003
"O'Sullivan Elevations Bookcase, Cherry Finish",1912.308
O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.059
O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.161
O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.9180000000001
O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.3668
OIC Stacking Trays,82.832
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.816
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.734
Office Star - Contemporary Task Swivel Chair,1842.268
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",694.194
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.538
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.956
Office Star - Ergonomically Designed Knee Chair,1311.876
Office Star - Mesh Screen back chair with Vinyl seat,2200.464
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.48
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5
Office Star - Task Chair with Contemporary Loop Arms,600.4680000000001
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.1770000000001
Office Star Flex Back Scooter Chair with White Frame,1775.68
"Padded Folding Chairs, Black, 4/Carton",1830.148
Regeneration Desk Collection,35.904
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.175
Riverside Furniture Stanwyck Manor Table Series,917.9200000000001
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.228
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.759
Rush Hierlooms Collection Rich Wood Bookcases,489.37919999999997
SAFCO Arco Folding Chair,11572.78
SAFCO Folding Chair Trolley,705.32
SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,245.088
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979.004
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.115
"Safco Chair Connectors, 6/Carton",881.192
Safco Contoured Stacking Chairs,5697.76
Safco Drafting Table,638.8199999999999
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.858
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",802.074
Sauder Barrister Bookcases,754.7336
"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1064.624
"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.8178
Sauder Camden County Collection Library,1368.2620000000002
Sauder Cornerstone Collection Library,322.192
"Sauder Facets Collection Library, Sky Alder Finish",1427.683
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.174
"Sauder Forest Hills Library, Woodland Oak Finish",1875.034
Sauder Inglewood Library Bookcases,2154.348
"Sauder Mission Library with Doors, Fruitwood Finish",935.1972
"Seth Thomas 12"" Clock w/ Goldtone Case",390.66
"Seth Thomas 13 1/2"" Wall Clock",316.48400000000004
"Seth Thomas 14"" Day/Date Wall Clock",467.072
"Seth Thomas 14"" Putty-Colored Wall Clock",357.948
"Seth Thomas 16"" Steel Case Clock",441.72799999999995
"Seth Thomas 8 1/2"" Cubicle Clock",210.912
"Situations Contoured Folding Chairs, 4/Set",3641.274
Stackable Trays,65.296
"Stacking Tray, Side-Loading, Legal, Smoke",46.592
Stacking Trays by OIC,72.708
Staple-based wall hangings,422.288
Telescoping Adjustable Floor Lamp,143.928
"Tenex ""The Solids"" Textured Chair Mats",1469.1599999999999
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.972
Tenex Antistatic Computer Chair Mats,3317.0119999999997
Tenex B1-RE Series Chair Mats for Low Pile Carpets,1002.3639999999999
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",763.6679999999999
"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.496
Tenex Chairmats For Use With Carpeted Floors,175.78
Tenex Chairmats For Use with Hard Floors,467.712
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",1010.7819999999999
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",180.46
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1322.17
"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",468.46799999999996
"Tensor ""Hersey Kiss"" Styled Floor Lamp",93.52799999999999
Tensor Brushed Steel Torchiere Floor Lamp,146.11399999999998
Tensor Computer Mounted Lamp,536.04
Tensor Track Tree Floor Lamp,299.85
Ultra Commercial Grade Dual Valve Door Closer,63.824
"Ultra Door Kickplate, 8""H x 34""W",158.24
Ultra Door Pull Handle,265.104
Ultra Door Push Plate,149.264
Westinghouse Clip-On Gooseneck Lamps,279.558
"Westinghouse Floor Lamp with Metal Mesh Shade, Black",167.93
"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",84.84
